dateRep,minTemp,maxTemp,avgTemp,maxHum
01/06/2020,27,35,31,17
02/06/2020,28,35,31.5,15
03/06/2020,37,27,32,22
04/06/2020,29,36,32.5,9
05/06/2020,29,36,32.5,11
06/06/2020,26,34,30,23
07/06/2020,20,31,25.5,50
08/06/2020,21,30,25.5,40
09/06/2020,24,32,28,27
10/06/2020,25,33,29,27
11/06/2020,26,33,29.5,21
12/06/2020,26,35,30.5,22
13/06/2020,27,35,31,17
14/06/2020,27,36,31.5,13
