dateRep,minTemp,maxTemp,avgTemp,maxHum
17/11/2020,09,14,11.5,61
18/11/2020,08,13,10.5,71
19/11/2020,08,10,09,60
20/11/2020,09,11,10,51
21/11/2020,07,08,7.5,93
22/11/2020,06,12,09,93
23/11/2020,08,11,9.5,87
24/11/2020,06,10,08,85
25/11/2020,06,11,08.5,87
26/11/2020,07,12,9.5,77
27/11/2020,08,13,10.5,75
28/11/2020,06,10,08,75
29/11/2020,05,09,07,91
30/11/2020,05,12,08.5,87
