dateRep,minTemp,maxTemp,avgTemp,maxHum
18/07/2020,21,27,24,100
19/07/2020,22,28,25,87
20/07/2020,22,29,25.5,89
21/07/2020,23,29,26,82
22/07/2020,21,27,24,79
23/07/2020,21,28,24,76
24/07/2020,21,27,24,78
25/07/2020,22,28,25,80
26/07/2020,22,29,25.5,84
27/07/2020,23,31,27,97
28/07/2020,22,28,25,67
29/07/2020,21,26,23.5,73
30/07/2020,20,24,22,75
31/07/2020,20,25,22.5,76
